i, nrow, alfa, Max_It, b, W1, W2, W3, W4, Ite, Aciertos
6,437,0.3,3700,-5.1926,-0.42375,15.6,-5.569,0.91779,12,2
7,438,0.3,3800,-5.1957,-0.71766,15.759,-5.301,0.30847,12,2
8,439,0.3,3900,-19.431,-4.013,57.07,-18.802,-1.5047,40,2
9,440,0.3,4000,-5.5359,-0.74627,16.121,-6.1561,0.0074147,12,2
0,441,0.3,4100,-17.796,-4.1137,48.971,-18.715,-0.54258,35,2
1,442,0.3,4200,-5.0999,-1.1999,15.349,-5.6801,0.0062038,12,2
2,443,0.3,4300,-13.204,-3.1497,39.175,-12.952,0.87909,28,2
3,444,0.3,4400,-16.503,-3.0415,47.891,-15.915,0.40752,34,2
4,445,0.3,4500,-19.511,-4.7129,57.566,-18.98,-0.31809,40,2
5,446,0.3,4600,-5.1536,-0.99699,15.482,-5.7433,-0.14906,12,2
6,447,0.3,4700,-18.704,-4.2184,56.289,-18.574,-0.79976,39,2
7,448,0.3,4800,-19.43,-2.9553,56.566,-18.824,0.40038,39,2
8,449,0.3,4900,-5.6429,-0.38391,16.356,-5.4482,0.52699,12,2
9,450,0.3,5000,-5.4444,-0.8303,16.697,-5.9677,0.012343,12,2
0,451,0.4,100,-4.4114,-0.45679,21.362,-7.0632,-0.91712,12,2
1,452,0.4,200,-8.8446,-2.7605,42.682,-16.319,0.29666,23,2
2,453,0.4,300,-4.4787,-0.69914,21.286,-7.6538,-0.48685,12,2
3,454,0.4,400,-4.1586,-2.3188,21.976,-7.4936,0.60416,12,2
4,455,0.4,500,-14.947,-5.6497,73.708,-24.506,-0.84155,39,2
5,456,0.4,600,-3.8402,-2.0856,21.433,-7.9431,-0.61756,12,2
